timestamp,temperature,wind_speed,cloud_cover,irradiance,cloud_cover_frac
2023-01-01 00:00:00,-2.8,25.6,100,41.0,1.0
2023-01-01 01:00:00,-2.5,25.9,90,50.0,0.9
2023-01-01 02:00:00,-2.6,26.7,60,86.0,0.6
2023-01-01 03:00:00,-2.7,27.8,24,151.0,0.24
2023-01-01 04:00:00,-2.7,30.4,16,228.0,0.16
2023-01-01 05:00:00,-2.7,30.1,4,322.0,0.04
2023-01-01 06:00:00,-2.6,30.4,32,425.0,0.32
2023-01-01 07:00:00,-2.3,31.3,49,518.0,0.49
2023-01-01 08:00:00,-2.1,31.8,89,614.0,0.89
2023-01-01 09:00:00,-1.8,31.9,99,643.0,0.99
2023-01-01 10:00:00,-1.6,33.6,100,640.0,1.0
2023-01-01 11:00:00,-1.7,32.8,100,746.0,1.0
2023-01-01 12:00:00,-1.7,32.3,91,713.0,0.91
2023-01-01 13:00:00,-1.6,32.3,92,687.0,0.92
2023-01-01 14:00:00,-1.5,31.9,69,674.0,0.69
2023-01-01 15:00:00,-1.7,30.0,80,638.0,0.8
2023-01-01 16:00:00,-1.7,29.0,81,569.0,0.81
2023-01-01 17:00:00,-1.9,27.7,86,461.0,0.86
2023-01-01 18:00:00,-2.0,26.7,100,353.0,1.0
2023-01-01 19:00:00,-2.0,26.9,100,227.0,1.0
2023-01-01 20:00:00,-2.3,26.9,100,144.0,1.0
2023-01-01 21:00:00,-2.5,26.8,100,92.0,1.0
2023-01-01 22:00:00,-2.8,26.4,100,57.0,1.0
2023-01-01 23:00:00,-2.9,26.6,100,39.0,1.0
2023-01-02 00:00:00,-3.1,27.7,100,34.0,1.0
2023-01-02 01:00:00,-2.9,28.2,100,45.0,1.0
2023-01-02 02:00:00,-2.9,29.0,100,67.0,1.0
2023-01-02 03:00:00,-2.8,30.1,100,104.0,1.0
2023-01-02 04:00:00,-2.7,30.8,100,164.0,1.0
2023-01-02 05:00:00,-2.6,31.3,100,249.0,1.0
2023-01-02 06:00:00,-2.6,30.8,91,363.0,0.91
2023-01-02 07:00:00,-2.3,31.3,88,485.0,0.88
2023-01-02 08:00:00,-2.0,32.5,55,590.0,0.55
2023-01-02 09:00:00,-1.9,32.7,36,686.0,0.36
2023-01-02 10:00:00,-1.8,32.0,46,753.0,0.46
2023-01-02 11:00:00,-1.7,31.2,48,790.0,0.48
2023-01-02 12:00:00,-1.5,28.5,49,787.0,0.49
2023-01-02 13:00:00,-1.4,27.1,32,772.0,0.32
2023-01-02 14:00:00,-1.5,25.8,19,725.0,0.19
2023-01-02 15:00:00,-1.5,25.7,17,664.0,0.17
2023-01-02 16:00:00,-1.7,25.7,10,578.0,0.1
2023-01-02 17:00:00,-1.9,25.0,0,480.0,0.0
2023-01-02 18:00:00,-2.2,25.3,15,375.0,0.15
2023-01-02 19:00:00,-2.6,26.6,46,274.0,0.46
2023-01-02 20:00:00,-2.9,27.1,88,184.0,0.88
2023-01-02 21:00:00,-3.3,27.9,100,114.0,1.0
2023-01-02 22:00:00,-3.5,28.8,100,65.0,1.0
2023-01-02 23:00:00,-3.6,29.6,76,44.0,0.76
2023-01-03 00:00:00,-3.5,29.5,48,41.0,0.48
2023-01-03 01:00:00,-3.4,30.1,100,56.0,1.0
2023-01-03 02:00:00,-3.3,31.1,99,83.0,0.99
2023-01-03 03:00:00,-3.2,32.2,96,130.0,0.96
2023-01-03 04:00:00,-3.1,32.7,98,204.0,0.98
2023-01-03 05:00:00,-2.9,33.5,98,301.0,0.98
2023-01-03 06:00:00,-2.8,33.7,97,389.0,0.97
2023-01-03 07:00:00,-2.7,33.2,49,505.0,0.49
2023-01-03 08:00:00,-2.4,31.9,37,617.0,0.37
2023-01-03 09:00:00,-2.1,31.8,58,691.0,0.58
2023-01-03 10:00:00,-1.8,31.3,69,745.0,0.69
